5U4Y,PDN25,PDN26,PDN27,PDN28,PDN29,PDN30,PDN31,PDN32,PDN33,PDN34,PDN35,PDN36,PDN37,PDN38
-4.19011,-100.3323,-92.43204,-111.3516422,-111.377155,0.78967,-101.9935566,-97.21991,-78.12392,0.491991402,-105.892727,-118.9916662,-4.883977609,-2.609737838,-100.0745573
-5.47556,-102.87136,-95.53334,-107.0474097,-111.3199434,-1.79569,-111.9518744,-108.33817,4.57605,-2.327086378,-100.8829443,-101.6628769,0.192619518,0.871561777,-105.1966032
-112.97345,-102.60779,-88.88875,-111.6727704,-118.1618881,0.21874,-111.3443209,-106.72266,6.73493,1.153234332,-97.64788354,-105.3088012,-2.043465081,-100.1794496,-97.38404474
-112.61733,-3.48277,-99.79281,-121.0332718,-112.5307299,0.55921,-117.1919582,-108.93536,6.4646,-2.153390227,-99.47802398,-3.346403273,-3.35675701,-103.6830192,-15.01061279
-127.2718,-1.31623,-106.78133,-111.2849981,-99.4071877,-2.3505,-122.7682796,-107.81177,-2.92901,-77.81850682,-105.1733635,-1.822881123,1.53428531,-103.3934142,-22.58613188
-100.96373,1.47111,-96.47645,-100.4558593,1.061649383,-2.83118,-107.6613009,-100.02597,-1.8345,-73.58213868,-108.8965504,0.700125497,-7.6904015,-115.1089584,-16.28967772
-104.01651,1.73402,-87.90027,-113.9685591,-10.11283083,2.03845,-115.0027053,-105.07152,-89.3263,-74.9182717,-102.3184497,-12.99224338,3.128455737,-110.4926857,-24.33637642
-93.52825,-0.00585,-102.87785,-121.2232229,-3.324210752,-1.88085,-109.5654921,-101.51209,-94.55016,-75.09856181,2.013620109,-119.0882201,0.395878948,-108.3111379,-21.42679003
-107.79075,-104.2967,-96.24483,-122.992637,-4.497888389,-2.26103,-9.206938065,-112.11291,-99.96858,-75.59876853,-1.643526709,-103.7498331,-1.92071945,3.553961175,-28.09307536
0.32908,-108.61214,-108.27336,-108.8533663,-7.115004405,-5.93246,-3.499805499,-105.87359,-106.28268,-69.24484768,0.088605162,-111.9395068,3.077800715,2.437065549,-19.64427909
-9.43591,-9.6438,-89.98531,-110.0100896,-8.647285218,-92.4233,-3.973901717,-114.56927,-96.18454,-82.78089424,-1.406668146,-83.82820299,-2.846023869,0.74840086,-25.64016383
-7.0796,-98.53406,-92.3996,-103.4265162,-11.15019365,-102.69778,1.669126881,-105.63382,-1.25465,-82.97659598,-97.68228231,-98.84023194,-2.260643263,-99.29172093,-17.31232772
2.64519,-115.28985,-97.23495,-105.922553,-6.007814642,-3.16535,-0.951047371,-119.34238,-0.37786,-0.288485168,-95.01725794,-88.64118241,-102.6844362,-105.4233749,-18.55703227
1.12958,-104.13261,-111.57737,-113.5376755,-4.028423122,-0.76943,-3.816655631,-105.65875,-5.65892,4.86057954,-97.82994476,-1.758327718,-94.9906912,-114.5134567,-94.25947101
1.37392,-96.52157,-77.8939,-116.9541579,-7.097259048,-0.86856,-1.710387663,-110.75551,-1.26002,4.848002964,-95.72052639,-12.33552485,-98.40077925,-112.2246187,-100.0322822
-111.64926,-106.33351,-82.41804,-112.5107597,-8.471800115,-5.69031,-0.0309228,-114.12974,-1.71634,1.718375133,-97.91870416,-10.28219452,-109.5560464,-1.606866472,-79.14417369
-112.39746,-102.73348,0.06582,-101.9973262,1.690481237,-83.16584,-3.310621913,-2.45687,-3.61506,-85.28611098,-94.55714607,-87.29839953,-1.715103347,0.430558853,-89.62087942
-112.07319,-92.12944,-2.34002,-5.148726757,3.735427624,-83.89644,-3.013043888,0.54918,-4.40474,-81.21139959,-99.85084293,-101.9541972,-4.810235459,-0.837442938,0.493748426
-107.8252,-107.04359,3.48314,1.236405213,-99.07419209,-91.73372,-1.672723933,-111.73973,0.81148,-76.92019241,-97.03732055,-95.43007856,-102.8745974,4.834169711,4.223471054
-5.20467,-94.1342,-91.99472,-5.644648499,-0.771454129,0.14386,-6.948463355,-114.58795,0.84499,-80.56280094,-85.8015716,-111.7756176,-104.2723053,-118.6092727,-83.33477967
-3.18372,-96.67646,-89.32749,-4.784572419,-0.89261282,-87.68079,-2.543930302,-110.60961,-79.76258,-75.10001215,-0.805452517,-1.964031363,-97.56871595,-117.4632256,-96.65078286
0.68874,-93.62017,-84.87091,-2.62759086,-106.1649348,-77.81627,-1.018857074,-102.05496,-88.18233,-75.44245328,-90.46970462,-112.7149003,-104.9544659,-110.797356,-101.2635555
0.55217,-90.79527,-78.28375,0.605935372,-108.5805588,-82.05677,-8.424561218,-116.88899,-88.24672,-75.52815093,-97.0540336,-18.49090155,-102.1555891,-105.6734135,-102.5782037
-112.35324,-108.84164,-86.53507,-3.345076587,-108.0257444,-92.25439,0.279479828,-96.0404,-87.42267,-82.08657076,-98.57609135,-8.830313409,-100.1077554,-112.5482165,-111.7884485
-0.28872,-102.27864,-93.86977,-2.024650926,-116.7678565,-92.40683,2.283897357,-109.0594,-98.99357,-88.80674517,-95.63302403,-6.462699864,-105.2615729,-110.4474497,-84.25682356
1.75467,2.51747,-1.00063,-4.821509986,-117.6956302,-86.65491,-11.54721505,-102.71331,1.03505,1.317107089,-99.08103352,-110.9696972,-111.3109824,-105.9146382,-98.03088324
-114.71522,0.74417,-90.29734,2.22654651,-122.5191838,-100.08151,-0.657496784,-107.73943,-8.18496,-4.029374506,-99.48455786,-103.5257327,-99.61720678,-105.739681,-96.83025609
-110.23393,3.90203,-79.31875,-1.60362923,-123.0710267,-93.36894,-1.042670196,-112.22331,-1.0401,-8.481258343,-94.32355405,-101.3867105,-97.40656414,0.731117215,-98.28491209
-100.16436,0.03784,-101.49238,-4.799751487,-117.4014315,-96.71585,-4.962487437,-113.45558,-101.13686,-2.692360606,-94.34248837,-118.8539688,-111.229838,2.686937039,-90.74424644
-100.24664,-1.27092,-85.39567,0.89127884,-119.5142921,-87.43946,-4.522882678,-111.55372,-106.64185,2.149908303,-94.2027559,-120.4316457,-2.855894454,1.679888983,-97.052556
0.759,-1.55149,-95.27242,-0.090274508,-105.5945649,-86.44088,-0.773145903,-100.79792,-101.22741,-88.46108909,-87.91132521,-102.7768036,2.95013489,4.105583423,-17.44601406
0.3579,1.15018,-90.99217,0.344289401,-118.7535833,2.11977,0.960040563,-105.0602,-5.95057,-86.35454572,-97.47750713,-113.9305392,-10.04791835,-2.096383363,-25.64446802
1.33586,-8.872,-86.06314,-4.116237149,-109.3309722,-2.00056,-2.021565219,-109.32468,-86.52354,-86.95281878,-98.57025656,-5.475765642,-2.723102098,1.492271863,-22.86886314
-1.26915,-1.60428,-79.02223,-0.015056966,-108.1693844,-4.14314,-5.506090782,-1.85801,-109.45325,-91.15888393,-97.14666323,-8.481796234,-2.990628805,-3.522755114,-30.5767263
-107.70095,-5.67873,1.26765,-1.152194721,-102.0634444,3.30706,-112.7750204,-111.33912,-108.28451,-77.78417121,2.323297693,-9.337315468,-1.992606033,-111.1058443,-26.29203745
-106.58487,-5.68831,0.08482,-3.171109607,-96.22788942,-4.24973,-115.4253639,-104.95304,-91.20791,-83.00742449,1.987507324,-11.26247056,3.707820995,-95.71452957,-26.67998151
-102.93611,-93.81792,-92.56369,-3.613506472,-108.9045324,-4.99339,-121.4730872,-108.52188,-91.71566,-83.11088193,1.700827527,-1.383248941,7.372023688,-3.495656092,-16.94655682
-107.27125,-104.48859,-99.36187,1.740828558,-5.267616451,2.35603,-106.7480496,-1.95307,5.11074,-79.89860207,1.623940013,-2.460550313,-95.47558454,2.509169867,0.528022939
-108.73907,1.30769,-102.68425,-3.741920214,0.197811367,3.87585,-5.730046992,-3.94494,-2.65896,-80.69798914,-0.421403351,-3.706583626,-107.8611772,-1.292009261,-0.236759094
-115.29704,-5.55961,-1.70763,-0.132360007,-8.199167965,-0.74429,-100.7993262,-0.34814,-3.95048,0.226532027,-6.519226321,-4.019047581,-92.50590421,-98.67398013,2.224882616
-0.4806,-1.25818,-2.37329,0.346465725,-12.61755776,-2.41439,-100.7216729,-0.60019,-0.0051,1.852694028,-6.613289715,-1.958488062,-99.01581297,-103.4364579,-7.87692351
2.52353,-1.78461,1.42216,-4.277635963,-5.446918514,0.53718,-98.57017682,-103.22661,-1.11927,0.326768329,-91.31032085,6.080977648,-99.91090384,-106.0795385,-97.93569817
0.69981,-1.7969,-1.98451,-2.588121316,-12.15704127,-6.44862,-102.8391022,-113.51422,3.44034,0.755009524,-88.41379539,-2.888461411,-94.89180241,-109.785254,-102.5852641
2.76179,-1.47261,-0.77652,-1.364516529,-106.3691278,0.18469,-98.20332219,-120.4312,-1.61181,-75.02241524,-87.43952835,-0.259087096,-91.74528708,-112.6043462,-84.29705823
-103.04017,-0.56005,-1.06459,-6.474862474,-104.5945336,-0.5281,0.844104364,-107.04016,-2.87688,-89.61891148,-90.29864732,-3.464739394,-2.192823107,-109.9234763,-91.92552095
-105.65066,2.71305,2.46348,-3.698258062,-118.0666373,-2.39032,1.502751249,-108.24505,2.69516,-83.77516037,-105.8923577,0.967561383,-0.191229499,-114.4110017,-88.41209959
-108.41228,-0.27327,-2.2137,4.36077664,-98.22873587,-1.24331,1.931809284,-108.16375,-93.27577,-79.47118772,-100.2078947,-0.718787114,-98.58569846,-109.1816946,-87.85166233
5.47805,-3.53943,-6.68798,2.432191975,-121.2077313,-98.8234,0.444754264,-105.28283,-89.1984,-80.25437585,-87.37618231,-1.672034357,4.705050601,-109.3684315,-28.69519478
1.79452,-5.94647,-3.95509,-4.5826016,-119.9149001,-96.17533,5.387169979,-109.9902,-92.57962,-77.48838695,-98.54338806,0.479913468,2.166011934,-3.953662309,-27.95304699
-0.75845,-1.48093,-1.66479,-0.984756261,-105.7785414,0.74238,-2.069825023,-92.73812,-92.58921,-94.94236339,-77.45887109,-115.6339341,1.499198491,-2.306432651,-14.44589415
-0.11129,-6.26246,1.66145,-6.84096421,-6.520416958,-96.68564,-1.648515081,-112.22156,0.75844,-83.14858431,-96.48314346,-110.8999662,1.15825833,-98.96752181,-17.39792034
-0.83216,-2.42686,-3.91905,-2.787401727,-0.725216305,-94.31524,-0.911239088,-105.43135,-3.86339,3.016283952,-86.32503695,-97.21705003,1.918462227,-109.7889092,-22.22108646
0.94723,-0.29477,-0.22449,-1.356011648,-4.238597214,-101.86664,-2.673659717,-98.28222,-6.09406,4.74903685,-101.1964769,-105.442943,6.01868022,-107.9606958,-23.75495478
2.0438,0.83557,2.3656,-2.816892267,-4.662761195,-97.8443,1.330136577,-105.80783,-83.34472,-0.248677043,-4.002620202,-108.2970324,0.634638121,-112.026141,-22.96159024
-2.47589,3.16861,3.12535,-2.103873201,-3.255422573,-96.03949,-4.748752602,-4.39178,-84.86271,1.872289778,-93.519768,-0.898520846,-101.9162939,-4.410519955,-95.41849292
-108.29127,-3.95655,-86.26173,0.411608372,-0.380721713,-100.73055,-5.672459751,-2.0963,-87.4199,-89.17798135,-98.77134206,-100.0061256,-98.70316968,-2.750863143,2.42001657
-106.91105,-5.70118,-90.18641,-3.019130483,-112.3585957,-99.79472,-10.42251235,-108.8231,-87.37059,-84.98574016,-92.61129776,-17.9808975,-102.8891516,-102.1909646,0.320503807
-103.08953,-2.06849,-92.77428,-3.017740326,-124.573948,-99.88988,-10.09553206,-116.45741,-95.83703,-85.26176506,-91.41154388,-0.501034556,-97.56337948,-100.9185941,-7.701565025
-104.22046,-4.11953,-92.38169,1.121128636,-129.7490406,1.14064,-8.335700813,-103.95999,-88.32084,-81.15300482,-94.59058589,-5.430328872,-101.9896832,-0.157743555,-103.3836342
-95.32172,3.57722,-97.84142,-1.860936493,-123.2723904,-2.27393,-5.945830621,-98.08284,-89.7295,-76.44374272,-90.43533226,-6.664472487,-110.1558693,3.71827626,-93.18944102
-115.50324,-2.1321,-96.92046,-2.218416735,-124.3861594,-1.82037,-5.080644149,-106.11243,-91.5701,-74.78147589,-97.6333843,-107.5400474,-109.6116809,-108.6423468,-86.54672669
-104.42242,-1.49173,-96.07869,0.383804194,-121.8856986,-1.5987,-4.842740027,-110.88531,-90.42957,-81.90721032,-92.25787269,-92.67929824,-96.13340649,-95.80873459,-92.51793337
1.17489,-93.27854,-91.35647,-4.971965404,-119.89986,-3.27015,-3.719501872,-0.45413,-82.6188,-78.69093441,-97.99632749,-100.238415,-0.700631873,-98.80643065,-100.4399091
2.11886,-96.09107,-103.36021,-1.409071241,-111.326752,-4.63854,-7.139176756,2.38715,-98.13138,-72.83624704,-92.39328303,-108.8180218,-4.131649193,-97.40263042,-96.71633591
0.42472,-100.02853,-106.69451,-4.252075643,-110.7148139,-0.14926,-8.007258677,0.36355,-86.773,-75.98875235,-103.0283953,-111.4615892,-107.9972905,-104.0257223,-93.69632973
-0.85487,-96.50631,2.562,-3.477416292,-110.2011117,-90.97484,1.599126646,2.25417,-116.67546,-1.667358204,-105.5182952,-104.4650784,-97.66040245,-106.4666699,-27.78763243
-0.55407,-103.89714,-0.71898,-115.3571825,-98.76758345,-96.74853,-5.425465744,2.43297,-98.36061,1.973164209,-89.73659997,-104.5067269,-102.8632126,-1.271116927,-21.57580978
-102.51783,-101.87663,-3.91459,-121.5518828,-119.1554838,-103.14745,-4.71727389,2.13155,2.70751,5.54980758,-92.83141257,-104.4471722,-3.292366343,-6.812004261,3.875789557
-105.70405,-88.73162,-96.37334,-104.6438466,-111.2076922,-83.52431,-5.713948952,-0.49557,3.82633,-4.145194173,-105.5022177,-97.43877445,-0.29591066,-5.359820922,-18.8508561
-110.58338,-3.53804,-104.20029,-111.0583502,-105.3165404,-92.68602,-2.251314377,-2.35546,1.00192,-2.536430825,-103.6175792,-104.9134597,-6.800261099,-3.17053552,-14.21503948
